Category	BookID	BookName	Lang	Author
Literary	2523	The Memoirs of Victor Hugo	en	Hugo, Victor
Literary	17063	A Lost Leader	en	Pegram, Fred
Literary	20580	Napoleon the Little	en	Hugo, Victor
Literary	33546	The Missioner	en	Pegram, Fred
Literary	53490	William Shakespeare	en	Hugo, Victor
Literary	3805	The Vultures	en	Merriman, Henry Seton
Literary	6517	The Grey Lady	en	Merriman, Henry Seton
Literary	8158	Barlasch of the Guard	en	Merriman, Henry Seton
Literary	8493	The Last Hope	en	Merriman, Henry Seton
Literary	8805	From One Generation to Another	en	Merriman, Henry Seton
Literary	8873	The Isle of Unrest	en	Merriman, Henry Seton
Literary	8939	With Edged Tools	en	Merriman, Henry Seton
Literary	8942	The Last Hope	en	Merriman, Henry Seton
Literary	9195	The Slave of the Lamp	en	Merriman, Henry Seton
Literary	10132	The Sowers	en	Merriman, Henry Seton
Literary	10342	The Velvet Glove	en	Merriman, Henry Seton
Literary	20243	Dross	en	Merriman, Henry Seton
Literary	8941	Lord Kilgobbin	en	Lever, Charles James
Literary	14373	A Noble Life	en	Craik, Dinah Maria Mulock
Literary	31685	Nuts and Nutcrackers	en	Lever, Charles James
Literary	32082	A Rent In A Cloud	en	Lever, Charles James
Literary	32840	One Of Them	en	Lever, Charles James
Literary	33556	The Fortunes Of Glencore	en	Lever, Charles James
Literary	33604	Tony Butler	en	Lever, Charles James
Literary	35500	Nuts and Nutcrackers	en	Lever, Charles James
Literary	35717	Luttrell Of Arran	en	Lever, Charles James
Literary	38253	A Description of the Coasts of East Africa and Malabar in the Beginning of the Sixteenth Century	en	MagalhÃƒÆ’Ã‚Â£es, FernÃƒÆ’Ã‚Â£o de
Literary	48039	From the North Foreland to Penzance	en	Holland, Clive
Literary	9973	Yorkshire	en	Home, Gordon
Literary	15053	The Evolution of an English Town	en	Home, Gordon
Literary	9306	Aesthetic as Science of Expression and General Linguistic	en	Croce, Benedetto
Literary	36762	The Reform of Education	en	Croce, Benedetto
Detective and Mystery	8221	A Study of Poetry	en	Perry, Bliss
Detective and Mystery	502	Desert Gold	en	Grey, Zane
Detective and Mystery	1095	The Light of the Western Stars	en	Grey, Zane
Detective and Mystery	1261	Betty Zane	en	Grey, Zane
Detective and Mystery	1300	Riders of the Purple Sage	en	Grey, Zane
Detective and Mystery	1679	Hiram the Young Farmer	en	Todd, Burbank L.
Detective and Mystery	1881	The Call of the Canyon	en	Grey, Zane
Detective and Mystery	1882	The Young Forester	en	Grey, Zane
Detective and Mystery	2057	The Last of the Plainsmen	en	Grey, Zane
Detective and Mystery	2066	Wildfire	en	Grey, Zane
Detective and Mystery	2070	To the Last Man	en	Grey, Zane
Detective and Mystery	3457	The Man of the Forest	en	Grey, Zane
Detective and Mystery	4552	The Border Legion	en	Grey, Zane
Detective and Mystery	5067	The Rainbow Trail	en	Grey, Zane
Detective and Mystery	9932	The Last Trail	en	Grey, Zane
Detective and Mystery	10201	The Desert of Wheat	en	Grey, Zane
Detective and Mystery	10585	My Strangest Case	en	Boothby, Guy
Detective and Mystery	12225	Tales of lonely trails	en	Grey, Zane
Detective and Mystery	13937	The Mysterious Rider	en	Grey, Zane
Detective and Mystery	15580	The Rustlers of Pecos County	en	Grey, Zane
Detective and Mystery	15673	The Day of the Beast	en	Grey, Zane
Detective and Mystery	19246	The Young Pitcher	en	Grey, Zane
Detective and Mystery	29346	Tales of Fishes	en	Grey, Zane
Detective and Mystery	36492	The Kidnapped President	en	Boothby, Guy
Detective and Mystery	36892	A Cabinet Secret	en	Boothby, Guy
Detective and Mystery	37948	The Beautiful White Devil	en	Boothby, Guy
Detective and Mystery	39731	The Marriage of Esther	en	Boothby, Guy
Detective and Mystery	45974	Ken Ward in the Jungle	en	Grey, Zane
Detective and Mystery	54771	A Prince of Swindlers	en	Boothby, Guy
Detective and Mystery	12184	Abroad with the Jimmies	en	Bell, Lilian
Detective and Mystery	12416	As Seen By Me	en	Bell, Lilian
Detective and Mystery	18895	At Home with the Jardines	en	Bell, Lilian
Detective and Mystery	40850	Carolina Lee	en	Bell, Lilian
Detective and Mystery	1385	Lin McLean	en	Wister, Owen
Detective and Mystery	1386	Lady Baltimore	en	Wister, Owen
Detective and Mystery	13150	Through the Grand Canyon from Wyoming to Mexico	en	Wister, Owen
Detective and Mystery	28675	Red Men and White	en	Wister, Owen
Detective and Mystery	37758	Atlantic Classics	en	Wister, Owen
Western Stories	166	Summer	en	Wharton, Edith
Western Stories	283	The Reef	en	Wharton, Edith
Western Stories	284	The House of Mirth	en	Wharton, Edith
Western Stories	541	The Age of Innocence	en	Wharton, Edith
Western Stories	1263	The Glimpses of the Moon	en	Wharton, Edith
Western Stories	4327	The Valley of Decision	en	Wharton, Edith
Western Stories	4514	Tales of Men and Ghosts	en	Wharton, Edith
Western Stories	4519	The Descent of Man and Other Stories	en	Wharton, Edith
Western Stories	5828	In the Pecos Country	en	Ellis, Edward Sylvester
Western Stories	6906	The Lost Trail	en	Ellis, Edward Sylvester
Western Stories	7516	Crucial Instances	en	Wharton, Edith
Western Stories	9190	The Greater Inclination	en	Wharton, Edith
Western Stories	11052	The Custom of the Country	en	Wharton, Edith
Western Stories	11104	In Morocco	en	Wharton, Edith
Western Stories	16855	The Land of Mystery	en	Ellis, Edward Sylvester
Western Stories	17253	Dewey and Other Naval Commanders	en	Ellis, Edward Sylvester
Western Stories	19191	The Fruit of the Tree	en	Wharton, Edith
Western Stories	22646	The Hunters of the Ozark	en	Ellis, Edward Sylvester
Western Stories	23026	The Phantom of the River	en	Ellis, Edward Sylvester
Western Stories	25334	Deerfoot in The Mountains	en	Ellis, Edward Sylvester
Western Stories	25980	Footprints in the Forest	en	Ellis, Edward Sylvester
Western Stories	29693	A Waif of the Mountains	en	Ellis, Edward Sylvester
Western Stories	30212	The Great Cattle Trail	en	Ellis, Edward Sylvester
Western Stories	30335	The Wilderness Fugitives	en	Ellis, Edward Sylvester
Western Stories	31421	Through Apache Land	en	Ellis, Edward Sylvester
Western Stories	41784	Wyoming	en	Ellis, Edward Sylvester
Western Stories	43079	The Boy Patrol on Guard	en	Ellis, Edward Sylvester
Western Stories	43218	The Boy Patrol Around the Council Fire	en	Ellis, Edward Sylvester
Western Stories	48970	Across Texas	en	Ellis, Edward Sylvester
Western Stories	50823	The Flying Boys in the Sky	en	Ellis, Edward Sylvester
Western Stories	2866	Windsor Castle	en	Ainsworth, William Harrison
Western Stories	23564	Rookwood	en	Ainsworth, William Harrison
Horror and Ghost	46129	The Data of Ethics	en	Spencer, Herbert
Horror and Ghost	55046	First Principles	en	Spencer, Herbert
Horror and Ghost	4555	Percy Bysshe Shelley	en	Symonds, John Addington
Horror and Ghost	11242	The Life of Michelangelo Buonarroti	en	Symonds, John Addington
Horror and Ghost	25842	Royal Palaces and Parks of France	en	McManus, Blanche
Horror and Ghost	27015	More Science From an Easy Chair	en	Lankester, E. Ray (Edwin Ray), Sir
Horror and Ghost	29820	The Cathedrals of Northern France	en	McManus, Blanche
Horror and Ghost	31936	The Cathedrals and Churches of the Rhine	en	McManus, Blanche
Horror and Ghost	35212	The Cathedrals of Southern France	en	McManus, Blanche
Horror and Ghost	37211	Castles and Chateaux of Old Touraine and the Loire Country	en	McManus, Blanche
Horror and Ghost	42866	Rambles in Brittany	en	McManus, Blanche
Horror and Ghost	42899	Rambles in Normandy	en	McManus, Blanche
Horror and Ghost	42941	Rambles on the Riviera	en	McManus, Blanche
Horror and Ghost	43609	Castles and Chateaux of Old Navarre and the Basque Provinces	en	McManus, Blanche
Horror and Ghost	44212	Italian Highways and Byways from a Motor Car	en	McManus, Blanche
