bookId-chunkNo	F0	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34
pg12972-3	0.014	0.1605	0.1106	0.0975	0.0246	0.0252	0.0371	0.054	0.0482	0.0003	0.0021	0.0171	0.0035	0.1106	-0.0636	0.028	0.303	0.1212	0.5758	0.7967	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.1965	0.2368	0
pg12972-4	0.0137	0.1788	0.2229	0.1025	0.0267	0.0264	0.0347	0.0527	0.0534	0	0.0014	0.0112	0.0035	0.1	-0.0891	0.0339	0.5588	0.0588	0.3824	0.8245	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.2149	0.1842	0
pg12972-1	0.0153	0.0772	0.1543	0.1032	0.0251	0.0245	0.0365	0.0465	0.0512	0	0.0011	0.0113	0.0032	0.0954	-0.0746	0.0301	0.2647	0.2941	0.4412	0.7736	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.2398	0.2105	0
pg12972-2	0.0141	0.1577	0.2106	0.0958	0.0272	0.0321	0.041	0.0511	0.0436	0	0.0014	0.0115	0.0029	0.105	-0.0378	0.0283	0.5882	0.0882	0.3235	0.7893	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.2331	0.3947	0
pg12972-7	0.0126	0.1609	0.0854	0.0977	0.0229	0.0269	0.0399	0.0478	0.0517	0.0001	0.0014	0.011	0.0018	0.1002	-0.0741	0.0293	0.4545	0.1212	0.4242	0.7949	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.1962	0.2105	0
pg12972-8	0.013	0.1443	0.2028	0.1093	0.0216	0.0258	0.0424	0.0528	0.047	0.0001	0.003	0.0136	0.0043	0.1118	-0.0559	0.0261	0.3824	0.0882	0.5294	0.8373	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.1725	0.2105	0
pg12972-5	0.014	0.1078	0.2132	0.1043	0.0247	0.027	0.0367	0.0432	0.0547	0.0001	0.0021	0.0138	0.0051	0.0959	-0.0937	0.0318	0.3529	0.1471	0.5	0.8085	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.2365	0.2105	0
pg12972-6	0.014	0.1476	0.1934	0.0917	0.0262	0.0297	0.0384	0.0506	0.0505	0	0.0021	0.0162	0.0026	0.1073	-0.0722	0.0296	0.4706	0.1471	0.3824	0.7882	-0.0465	-0.6227	-0.0004	-0.0049	-0.0092	0.0119	0.0085	0.0024	-0.0082	-0.01	0.0092	0.0006	0.2096	0.2105	0
pg573-2	0.0104	0.3357	0.2304	0.0678	0.0329	0.019	0.0398	0.0728	0.0251	0.0075	0.0119	0.0039	0.0054	0.1359	0.1863	0	0.2857	0.2143	0.5	0.5942	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg573-1	0.0125	0.2941	0.1434	0.0744	0.0344	0.0227	0.0327	0.0781	0.0249	0.0054	0.0118	0.0042	0.0043	0.1322	0.1828	0	0.1429	0.3571	0.5	0.6255	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg573-4	0.0095	0.3443	0.2043	0.0791	0.033	0.0217	0.0404	0.0714	0.0205	0.0085	0.0139	0.0018	0.0032	0.136	0.3274	0	0.2143	0.5714	0.2143	0.5331	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg14605-10	0.0198	0.3276	0.1588	0.078	0.0215	0.0242	0.0375	0.0567	0.0426	0.0003	0.0077	0.0104	0.0041	0.1126	-0.004	0.0301	0.28	0.32	0.4	0.7335	-0.0591	0.8353	-0.0031	-0.009	0.0134	-0.0044	0.0025	0.0066	-0.0025	0.0108	-0.0103	-0.004	0.3006	0.3421	0
pg573-3	0.0087	0.4488	0.139	0.0696	0.0369	0.0249	0.0449	0.0719	0.019	0.0058	0.0143	0.0019	0.0025	0.1388	0.4027	0	0.2143	0.3571	0.4286	0.4819	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg573-6	0.0064	0.3996	0.2877	0.0606	0.035	0.0217	0.0419	0.0739	0.0218	0.0039	0.0095	0.002	0.0023	0.1312	0.3029	0	0.2143	0.2857	0.5	0.5542	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg573-5	0.0098	0.4161	0.2947	0.0656	0.0423	0.021	0.0479	0.0744	0.0195	0.0041	0.0116	0.0039	0.0025	0.1419	0.3791	0	0.1429	0.5	0.3571	0.4989	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg14605-13	0.0122	0.5535	0.0447	0.0795	0.0233	0.0255	0.0371	0.0508	0.0452	0.0026	0.0067	0.0128	0.0022	0.11	-0.0077	0.0106	0.44	0.04	0.52	0.7145	-0.0591	0.8353	-0.0031	-0.009	0.0134	-0.0044	0.0025	0.0066	-0.0025	0.0108	-0.0103	-0.004	0.0232	0.0263	0
pg573-8	0.0044	0.3407	0.2178	0.0764	0.0407	0.0217	0.0392	0.0747	0.0243	0.0078	0.0116	0.0023	0.0078	0.1356	0.1577	0	0.1429	0.2143	0.6429	0.6223	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg14605-14	0.0113	0.4193	0.1001	0.0866	0.0243	0.0226	0.037	0.0531	0.0409	0.0021	0.009	0.0121	0.0032	0.1133	0.0305	0.0161	0.48	0.04	0.48	0.7325	-0.0591	0.8353	-0.0031	-0.009	0.0134	-0.0044	0.0025	0.0066	-0.0025	0.0108	-0.0103	-0.004	0.0748	0.1579	0
pg573-7	0.0048	0.3674	0.2055	0.0845	0.0347	0.0222	0.0413	0.0797	0.0193	0.0077	0.0108	0.0027	0.0035	0.1422	0.36	0	0.2857	0.2143	0.5	0.5296	0.0406	-0.6206	0.0134	-0.0041	-0.0056	0.0097	-0.0038	-0.0069	-0.0076	-0.0071	0.0035	0.0084	0	0	0
pg14605-11	0.022	0.2872	0.2604	0.0923	0.0233	0.0215	0.0427	0.0543	0.0444	0.0004	0.0083	0.0112	0.0055	0.1169	-0.0217	0.0375	0.28	0.24	0.48	0.7539	-0.0591	0.8353	-0.0031	-0.009	0.0134	-0.0044	0.0025	0.0066	-0.0025	0.0108	-0.0103	-0.004	0.3603	0.3684	0
